ligand,receptor,strip
KRT8,KRT18,strip_1
KRT8,KRT18,strip_2
KRT8,KRT18,strip_3
KRT5,KRT14,strip_1
KRT5,KRT14,strip_2
KRT5,KRT14,strip_3
KRT5,KRT15,strip_1
KRT5,KRT15,strip_2
KRT5,KRT15,strip_3
KRT8,KRT19,strip_1
KRT8,KRT19,strip_2
KRT8,KRT19,strip_3
KRT18,KRT19,strip_1
KRT18,KRT19,strip_2
KRT18,KRT19,strip_3
KRT14,KRT15,strip_1
KRT14,KRT15,strip_2
KRT14,KRT15,strip_3
KRT5,KRT17,strip_1
KRT5,KRT17,strip_2
KRT5,KRT17,strip_3
KRT14,KRT17,strip_1
KRT14,KRT17,strip_2
KRT14,KRT17,strip_3
KRT19,EPCAM,strip_1
KRT19,EPCAM,strip_2
KRT19,EPCAM,strip_3
KRT8,EPCAM,strip_1
KRT8,EPCAM,strip_2
KRT8,EPCAM,strip_3
KRT19,SCGB3A1,strip_1
KRT19,SCGB3A1,strip_2
KRT19,SCGB3A1,strip_3
EPCAM,SCGB3A1,strip_1
EPCAM,SCGB3A1,strip_2
EPCAM,SCGB3A1,strip_3
CD3D,CD3E,strip_1
CD3D,CD3E,strip_2
CD3D,CD3E,strip_3
CD3D,CD4,strip_1
CD3D,CD4,strip_2
CD3D,CD4,strip_3
CD3D,CD8A,strip_1
CD3D,CD8A,strip_2
CD3D,CD8A,strip_3
CD8A,CD8B,strip_1
CD8A,CD8B,strip_2
CD8A,CD8B,strip_3
CD4,FOXP3,strip_1
CD4,FOXP3,strip_2
CD4,FOXP3,strip_3
CD68,CD163,strip_1
CD68,CD163,strip_2
CD68,CD163,strip_3
CD68,CD14,strip_1
CD68,CD14,strip_2
CD68,CD14,strip_3
CD19,MS4A1,strip_1
CD19,MS4A1,strip_2
CD19,MS4A1,strip_3
ITGAX,HLA-DRA,strip_1
ITGAX,HLA-DRA,strip_2
ITGAX,HLA-DRA,strip_3
NCAM1,NKG7,strip_1
NCAM1,NKG7,strip_2
NCAM1,NKG7,strip_3
COL1A1,COL3A1,strip_1
COL1A1,COL3A1,strip_2
COL1A1,COL3A1,strip_3
COL1A1,COL1A2,strip_1
COL1A1,COL1A2,strip_2
COL1A1,COL1A2,strip_3
ACTA2,TAGLN,strip_1
ACTA2,TAGLN,strip_3
ACTA2,MYH11,strip_1
ACTA2,MYH11,strip_3
PECAM1,VWF,strip_1
PECAM1,VWF,strip_2
PECAM1,VWF,strip_3
PECAM1,CDH5,strip_1
PECAM1,CDH5,strip_2
PECAM1,CDH5,strip_3
VWF,CDH5,strip_1
VWF,CDH5,strip_2
VWF,CDH5,strip_3
DCN,LUM,strip_1
DCN,LUM,strip_2
DCN,LUM,strip_3
MALAT1,KRT18,strip_1
MALAT1,KRT18,strip_2
MALAT1,KRT18,strip_3
MALAT1,CD3D,strip_1
MALAT1,CD3D,strip_2
MALAT1,CD3D,strip_3
MALAT1,COL1A1,strip_1
MALAT1,COL1A1,strip_2
MALAT1,COL1A1,strip_3
KRT8,CD3D,strip_1
KRT8,CD3D,strip_2
KRT8,CD3D,strip_3
KRT8,COL1A1,strip_1
KRT8,COL1A1,strip_2
KRT8,COL1A1,strip_3
KRT8,PECAM1,strip_1
KRT8,PECAM1,strip_2
KRT8,PECAM1,strip_3
CD3D,COL1A1,strip_1
CD3D,COL1A1,strip_2
CD3D,COL1A1,strip_3
ISG15,IFIT1,strip_1
ISG15,IFIT1,strip_2
ISG15,IFIT1,strip_3
IFIT1,IFIT3,strip_1
IFIT1,IFIT3,strip_2
IFIT1,IFIT3,strip_3
ISG15,MX1,strip_1
ISG15,MX1,strip_2
ISG15,MX1,strip_3
OAS1,ISG15,strip_1
OAS1,ISG15,strip_2
OAS1,ISG15,strip_3
ISG15,KRT8,strip_1
ISG15,KRT8,strip_2
ISG15,KRT8,strip_3
IFIT1,KRT18,strip_1
IFIT1,KRT18,strip_2
IFIT1,KRT18,strip_3
MX1,KRT5,strip_1
MX1,KRT5,strip_2
MX1,KRT5,strip_3
CXCL8,IL6,strip_1
CXCL8,IL6,strip_2
CXCL8,IL6,strip_3
IL6,IL1B,strip_1
IL6,IL1B,strip_2
IL6,IL1B,strip_3
TNF,IL1B,strip_1
TNF,IL1B,strip_3
ISG15,CD68,strip_1
ISG15,CD68,strip_2
ISG15,CD68,strip_3
CXCL10,CD3D,strip_1
CXCL10,CD3D,strip_2
CXCL10,CD3D,strip_3
HLA-DRA,CD3D,strip_1
HLA-DRA,CD3D,strip_2
HLA-DRA,CD3D,strip_3
HLA-DRA,CD68,strip_1
HLA-DRA,CD68,strip_2
HLA-DRA,CD68,strip_3
TGFB1,TGFBR2,strip_1
TGFB1,TGFBR2,strip_2
TGFB1,TGFBR2,strip_3
CXCL12,CXCR4,strip_1
CXCL12,CXCR4,strip_2
CXCL12,CXCR4,strip_3
CCL2,CCR2,strip_1
CCL2,CCR2,strip_2
CCL2,CCR2,strip_3
CCL5,CCR5,strip_1
CCL5,CCR5,strip_2
CCL5,CCR5,strip_3
IL1B,IL1R1,strip_1
IL1B,IL1R1,strip_2
IL1B,IL1R1,strip_3
TNF,TNFRSF1A,strip_1
TNF,TNFRSF1A,strip_3
FGF7,FGFR2,strip_1
FGF7,FGFR2,strip_2
FGF7,FGFR2,strip_3
HGF,MET,strip_1
HGF,MET,strip_2
HGF,MET,strip_3
EGF,EGFR,strip_1
EGF,EGFR,strip_2
EGF,EGFR,strip_3
